"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"KAI","Kadant Inc","40.79","439708327.53","n/a","United States","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kai",
"KALU","Kaiser Aluminum Corporation","82.48","1463128308.72","n/a","United States","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/kalu",
"KBIO","KaloBios Pharmaceuticals, Inc.","10.4","42888778.4","n/a","United States","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kbio",
"KAMN","Kaman Corporation","39.52","1070653629.76","n/a","United States","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/kamn",
"KCLI","Kansas City Life Insurance Company","49.14","521318102.76","n/a","United States","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/kcli",
"KSU","Kansas City Southern","93.65","10220628823.45","n/a","United States","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/ksu",
"KSU^","Kansas City Southern","26.7299","0","n/a","United States","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/ksu^",
"KS","KapStone Paper and Packaging Corporation","23.38","2251844302.54","n/a","United States","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/ks",
"KAR","KAR Auction Services, Inc","36.48","5017272860.16","n/a","United States","2009","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/kar",
"KPTI","Karyopharm Therapeutics Inc.","16.6","593154735.8","n/a","United States","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kpti",
"KATE","Kate Spade & Company","18.83","2404488301.18","n/a","United States","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/kate",
"KED","Kayne Anderson Energy Development Company","18.12","191019246.12","n/a","United States","2006","n/a","n/a","http://www.nasdaq.com/symbol/ked",
"KYE","Kayne Anderson Energy Total Return Fund, Inc.","12.48","450222140.16","n/a","United States","2005","n/a","n/a","http://www.nasdaq.com/symbol/kye",
"KYN","Kayne Anderson MLP Investment Company","18.6","2029444995.6","n/a","United States","2004","n/a","n/a","http://www.nasdaq.com/symbol/kyn",
"KYN^E","Kayne Anderson MLP Investment Company","25.6271","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kyn^e",
"KYN^F","Kayne Anderson MLP Investment Company","25.11","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kyn^f",
"KYN^G","Kayne Anderson MLP Investment Company","25.99","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kyn^g",
"KBH","KB Home","13.55","1247570152.9","n/a","United States","1986","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/kbh",
"KBR","KBR, Inc.","18.78","2709254069.4","n/a","United States","2006","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/kbr",
"KAP","KCAP Financial, Inc.","25.17","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kap",
"KCAP","KCAP Financial, Inc.","4.62","171405811.5","n/a","United States","2006","n/a","n/a","http://www.nasdaq.com/symbol/kcap",
"KCG","KCG Holdings, Inc.","12.86","1162116932.26","n/a","United States","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/kcg",
"KRNY","Kearny Financial","12.25","1145719127","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/krny",
"K","Kellogg Company","66.47","23556814786.65","n/a","United States","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/k",
"KELYA","Kelly Services, Inc.","16.62","631256851.2","n/a","United States","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelya",
"KELYB","Kelly Services, Inc.","15.99","607328342.4","n/a","United States","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelyb",
"KEM","Kemet Corporation","2.87","131381600.07","n/a","United States","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/kem",
"KMPA","Kemper Corporation","26.88","0","n/a","United States","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/kmpa",
"KMPR","Kemper Corporation","40.7","2086044841.1","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/kmpr",
"KMPH","KemPharm, Inc.","14.12","204017423.12","n/a","United States","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kmph",
"KMT","Kennametal Inc.","27.55","2193205276.35","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kmt",
"KW","Kennedy-Wilson Holdings Inc.","25.14","2878459834.26","n/a","United States","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/kw",
"KWN","Kennedy-Wilson Holdings Inc.","26.3","0","n/a","United States","2012","Finance","Real Estate","http://www.nasdaq.com/symbol/kwn",
"KFFB","Kentucky First Federal Bancorp","9.3201","78657123.7515","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/kffb",
"KERX","Keryx Biopharmaceuticals, Inc.","5.21","548053378.27","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kerx",
"GMCR","Keurig Green Mountain, Inc.","47.88","7376304748.68","n/a","United States","1993","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/gmcr",
"KEQU","Kewaunee Scientific Corporation","16.51","44218815.55","n/a","United States","n/a","Capital Goods","Medical Specialities","http://www.nasdaq.com/symbol/kequ",
"KEG","Key Energy Services, Inc.","0.5101","80376489.1363","n/a","United States","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/keg",
"KTEC","Key Technology, Inc.","10.82","69038708.74","n/a","United States","1993","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ktec",
"KTCC","Key Tronic Corporation","7.71","82578772.26","n/a","United States","1983","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/ktcc",
"KEY","KeyCorp","13.08","10926599379","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/key",
"KEY^G","KeyCorp","132.0005","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/key^g",
"KEYS","Keysight Technologies Inc.","31.13","5275621427.89","n/a","United States","2014","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/keys",
"KFRC","Kforce, Inc.","27.74","802262770.08","n/a","United States","1995","Technology","Professional Services","http://www.nasdaq.com/symbol/kfrc",
"KRC","Kilroy Realty Corporation","65.31","6022912168.77","n/a","United States","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/krc",
"KRC^G","Kilroy Realty Corporation","25.7232","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/krc^g",
"KRC^H","Kilroy Realty Corporation","25.58","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/krc^h",
"KE","Kimball Electronics, Inc.","10.51","308491716.59","n/a","United States","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/ke",
"KBAL","Kimball International, Inc.","12.17","455348716.07","n/a","United States","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/kbal",
"KMB","Kimberly-Clark Corporation","121.66","44161900042.26","n/a","United States","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/kmb",
"KIM","Kimco Realty Corporation","26.33","10882460225.33","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/kim",
"KIM^H.CL","Kimco Realty Corporation","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kim^h.cl",
"KIM^I","Kimco Realty Corporation","25.91","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kim^i",
"KIM^J","Kimco Realty Corporation","24.68","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kim^j",
"KIM^K","Kimco Realty Corporation","25.14","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kim^k",
"KMI","Kinder Morgan, Inc.","23.66","52797637683.7","n/a","United States","2011","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/kmi",
"KMI.WS","Kinder Morgan, Inc.","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kmi.ws",
"KMI^A","Kinder Morgan, Inc.","43.86","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kmi^a",
"KIN","Kindred Biosciences, Inc.","4.06","80426082.8","n/a","United States","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kin",
